id;abstract
233;
234;"OBJECTIVE: to describe the completeness of notifications of accidents involving venomous animals held on the Notifiable Health Conditions Information System (SINAN), in Brazil and its macro-regions, from 2007 to 2019. METHODS: we analyzed essential and non-mandatory fields for snakebite, spider bite and scorpion sting notifications, considering the following completeness categories: Excellent (≤5.0% incompleteness), Good (5.0% to 10.0%), Regular (10.0% to 20.0%), Poor (20.0% to ≤50.0%) and Very Poor (>50.0%). Proportional change in completeness between 2007 and 2019 was estimated. RESULTS: 1,871,462 notifications were investigated. The ""localized manifestations"", ""systemic manifestations"", ""case classification"", ""case progression"" and ""zone of occurrence"" fields had excellent or good completeness. Completeness was regular or poor for the ""schooling"" and ""race/color"" fields. The ""occupation"" field was predominantly poorly or very poorly filled in. There was a proportional worsening in completeness (PC<0) in most regions for the ""zone of occurrence"", ""case progression"" and ""schooling"" fields. CONCLUSION: completeness of most fields improved, although socioeconomic and occupational fields require more attention."
235;"OBJECTIVE: to analyze the temporal trend of Food and Nutrition Surveillance System (Sistema de Vigilância Alimentar e Nutricional - SISVAN) coverage and the nutritional status of older adults, and its correlation with indicators of social inequality in Brazil between 2008-2019. METHODS: this was an ecological study using records from SISVAN, related to the population aged 60 years and older; the temporal trend of coverage and the correlation between indicators of social inequality and increment rate of nutritional status were analyzed; slope index of inequality and concentration index were used to measure absolute and relative inequalities. RESULTS: 11,587,933 records were identified; national coverage increased from 0.1% (2008) to 2.9% (2019), with a statistically significant upward trend; a moderate inverse correlation with an annual increment rate of overweight between human development index and gross domestic product per capita, was found. CONCLUSION: there was an increasing trend in SISVAN coverage; the increase in overweight was associated with social inequality."
236;"OBJECTIVE: to analyze the trend in hospitalization rates for mental and behavioral disorders due to alcohol use (ICD-10: F10.0), Brazil and its five regions, 2010-2020. METHODS: this was an ecological time-series study using data from the Hospital Information System of the Brazilian National Health System; to calculate the trend in hospitalizations, we used the Prais-Winsten generalized linear regression model and the Stata Statistical Software 14.0; a decreasing trend was considered when p-value < 0.05, and the regression coefficient was negative. RESULTS: in the period analyzed, there were 423,290 hospitalizations for mental and behavioral disorders due to alcohol use in the country; the data analyzed showed a decreasing trend in adult hospitalization rates for this cause in the country (p-value < 0.001; 95%CI -0.094;-0.079) and in all its regions, for both sexes (p-value < 0.001). CONCLUSION: hospitalizations for mental and behavioral disorders due to alcohol use have reduced in Brazil and in its macro-regions."
237;"OBJECTIVE: to identify spatial clusters of suicide and its epidemiological characteristics in the Chapecó (SC) micro-region from 1996 to 2018. METHODS: this was an exploratory ecological study, using data from the Mortality Information System; specific suicide rates and relative risks (RR) were calculated with a 95% confidence interval (95%CI); the scan statistic was used for spatial analysis. RESULTS: there were 1,034 suicides (13.7/100,000 inhabitants), with a male/female ratio of 3.79; the ≥ 60 age group was at higher risk for both sexes; a high risk cluster was found in the southwest region (RR = 1.57) and a low risk cluster in the southeast region, including Chapecó itself (RR = 0.68); risk of suicide among widowed (RR = 3.05; 95%CI 1.99;4.67), separated (RR = 2.48; 95%CI 1.44;4.27), and married (RR = 1.97; 95%CI 1.54;2.51) people was higher than among single people. The main methods were hanging (81.2%) and firearms (9.7%). CONCLUSION: there was a higher risk of suicide in the elderly, male and widowed people. Hanging was the most frequent method and risk clustering was found in the southwest."
238;"OBJECTIVE: to analyze the difference in the number of primary teeth dental procedures performed within the Brazilian National Health System (SUS) in the state of Rio Grande do Sul, before and during the COVID-19 pandemic. METHODS: this was a descriptive ecological study, using secondary data from the SUS Outpatient Information System (SIA-SUS), from 2018 to 2021, in the state and in its seven health macro-regions; we calculated the relative and absolute frequencies and the percentage difference of the dental procedures performed. RESULTS: 94,443 and 36,151 dental procedures were recorded before and during the pandemic, respectively, corresponding to a 61.7% reduction; relevant percentage reductions were found in restorative procedures, which reached 20% in the southern region of the state; an increase in the percentage of exodontic and endodontic procedures was found. CONCLUSION: the results suggest that the COVID-19 pandemic had negative repercussions on the performance of primary teeth dental procedures in Ro Grande do Sul."
239;"OBJECTIVE: to analyze the prevalence of symptoms of common mental disorders (CMDs) in Primary Health Care professionals between August-October/2021. METHODS: this was a cross-sectional study conducted with health professionals in the Northern health macro-region of Minas Gerais state; snowball sampling was used; the dependent variable, CMDs, was evaluated using the Self-Reporting Questionnaire (SRQ-20); Poisson regression was used to perform the statistical analysis. RESULTS: a total of 702 health professionals took part in the study; the prevalence of CDMs was 43.2%. It was higher in those with previous [prevalence ratios (PR) = 2.42; 95%CI 1.43;4.08] and current (PR = 1.54; 95%CI 1.25;1.89) symptoms of mental disorders, overwork during the pandemic (PR = 1.42; 95%CI 1.16;1.73), previous symptoms of anxiety (PR = 1.27; 95%CI 1.01;1.61), depression (PR = 1.27; 95%CI 1.06;1.52) and other mental disorders (PR = 1.20; 95%CI 1.01;1.43). CONCLUSION: there was an association between CDMs and presenting previous and current symptoms of mental disorders and work overload during the covid-19 pandemic."
240;"OBJECTIVE: to analyze the trend of incompleteness of the maternal schooling and race/skin color variables held on the Brazilian Live Birth Information System (SINASC) between 2012 and 2020. METHODS: this was an ecological time series study of the incompleteness of maternal schooling and race/skin color data for Brazil, its regions and Federative Units, by means of joinpoint regression and calculation of annual percentage change (APC) and average annual percentage change. RESULTS: a total of 26,112,301 births were registered in Brazil in the period; incompleteness of maternal schooling data decreased for Brazil (APC = -8.1%) and the Southeast (APC = -19.5%) and Midwest (APC = -17.6%) regions; as for race/skin color, there was a downward trend for Brazil (APC = -8.2%) and all regions, except the Northeast region, while nine Federative Units and the Federal District showed a stationary trend. CONCLUSION: there was an improvement in filling out these variables on the SINASC, but with regional disparities, mainly for race/skin color."
241;"OBJECTIVE: to analyze records of hospitalizations due to mental and behavioral disorders before and after the beginning of the covid-19 pandemic in Brazil, from January 2008 to July 2021. METHODS: this was a descriptive ecological interrupted time series study, using secondary data retrieved from the Brazilian National Health System Hospital Information System; a time series analysis of hospitalizations was conducted based on a population-weighted Poisson regression model; relative risk (RR) and respective 95% confidence intervals (95%CI) were calculated. RESULTS: we identified 6,329,088 hospitalizations due to mental and behavioral disorders; hospitalization rates showed an 8% decrease (RR = 0.92; 95%CI 0.91;0.92) after the start of the pandemic, compared to the pre-pandemic period. CONCLUSION: the pandemic changed the trend of hospitalizations due to mental and behavioral disorders in Brazil; the drop observed in the period is evidence that the pandemic affected the mental health care network."
242;
243;"OBJECTIVE: to analyze intimate partner violence (IPV) in Mato Grosso do Sul state, Brazil, with emphasis on physical violence. METHODS: this was a cross-sectional study applying multiple correspondence analysis (MCA) to records retrieved from the Notifiable Health Conditions Information System covering the period from 2009 to 2018. RESULTS: of the 9,950 notifications registered, 91.8% were notifications of physical violence; higher rates were found in young females (189.2/100,000), who had up to incomplete high school education (139.6/100,000), had a partner (202.7/100,000), were Indigenous (488.8/100,000), and were living on the border with other countries (223,1/100,000); the aggressors were mostly current partners (76.9%) and male (95.5%); MCA revealed that physical violence was predominant at weekends, at night, with use of physical force and when the aggressor was under the influence of alcohol; most IPV did not occur at home, but was committed by current partners and was not a repeated event. CONCLUSION: IPV stood out among young victims, those who had a partner, low education, Indigenous women and occurred notably in the border region."
244;"OBJECTIVE: to analyze prevalence of sexual initiation and associated factors in adolescents in Piauí. METHODS: this was a cross-sectional study, with secondary data from the 2015 National Adolescent School-based Health Survey. Hierarchical analysis was performed using robust Poisson regression. RESULTS: a total of 3.872 adolescents were interviewed. Prevalence of sexual initiation was 24.2%; risk factors for sexual initiation were being male [prevalence ratio (PR) = 2.18; 95% confidence interval (95%CI) 1.90;2.47], being 15 years old or over (PR = 2.49; 95%CI 2.18;2.76), living with mother (PR = 0.68; 95%CI 0.54;0.82), working (PR = 1.82; 95%CI 1.55;2.10), attending a public school (PR = 1.39; 95%CI 1.09;1.75), practicing bullying (PR = 1.50; 95%CI 1.31;1.72), using alcohol (PR = 2.35; 95%CI 2.09;2.64), using cigarettes (PR = 1.46; 95%CI 1.22;1.70) and using illicit drugs (PR = 1.40; 95%CI 1.15;1.66). CONCLUSION: prevalence of sexual initiation was high and associated with sociodemographic characteristics and vulnerable health behaviors, indicating the need for health promotion strategies."
245;"OBJECTIVE: to analyze the influence of socioeconomic inequality on COVID-19 distribution in larger Brazilian municipalities, controlling for effect of hospital infrastructure, comorbidities and other variables. METHODS: this was an ecological study of COVID-19 hospitalizations and deaths in 2020; outcome data were obtained from the Ministry of Health; incidence ratios were estimated using a generalized linear model. RESULTS: we identified 291,073 hospitalizations and 139,953 deaths; we found higher mortality rates in municipalities with a higher proportion of non-White people (95%CI 1.01;1.16) and with more households with more than two people per room (95%CI 1.01;1.13); presence of sewerage systems was protective for both outcomes (hospitalizations: 95%CI 0.87;0.99 - deaths: 95%CI 0.90;0.99), while a higher proportion of the population in subnormal housing clusters was a risk factor (hospitalizations: 95%CI 1.01;1.16 - deaths: 95%CI 1.09;1.21), with this variable interacting with the proportion of people receiving Emergency Aid (hospitalizations: 95%CI 0.88;1.00 - deaths: 95%CI 0.89;0.98). CONCLUSION: socioeconomic conditions affected illness and death due to COVID-19 in Brazil."
246;"OBJECTIVE: to analyze the profile of violence against the elderly and the degree of completeness of event notification forms in Niterói, Rio de Janeiro, Brazil. METHODS: this was a descriptive study having as its data source violence notification forms held on the Notifiable Health Conditions Information System for the period 2011-2020; analysis of form completeness was performed according to criteria proposed by the Ministry of Health. RESULTS: of the 486 registered cases, physical violence was the most reported type of violence (48.1%), followed by psychological violence (22.2%) and self-harm (21.4%); the fields with the highest degree of incompleteness were victim's level of schooling (32.8%) and repeat violence (41.5%). CONCLUSION: despite the increase in notifications in the period, predominantly of physical violence, completeness of some of the form fields continues to be poor, which reinforces the importance of training professionals to improve the reporting process and data quality."
247;"OBJECTIVE: to assess inequalities in the use of health services in a municipality in Southern Brazil. METHODS: This was a population-based cross-sectional study conducted with adults living in the urban area of the municipality of Criciúma, state of Santa Catarina, Brazil, between March and December 2019; the research outcomes were medical consultation, dental visit, nutritional counseling and the use of the Brazilian National Health System (Sistema Único de Saúde - SUS); the exposures were age, schooling and income; inequalities were analyzed using the Slope index of inequality and equiplots. RESULTS: A total of 820 individuals were studied; medical consultation was higher (14.2 percentage points [p.p.]), and dental visit was lower (-29.5 p.p.), in older adults, when compared to young people; dental visit (41.1 p.p.) and nutritional counseling (18.0 p.p.) were higher in individuals with higher level of education, when compared to those with lower level of education; the use of SUS was higher in older adults (21.3 p.p.), with lower level of education (-61.2 p.p.) and lower income (-51.6 p.p.), when compared to their peers. CONCLUSION: in order to develop public policies, these inequalities should be taken into consideration."
248;
249;
250;
251;[This corrects the article doi: 10.1590/S2237-962220220002000028].
252;
253;[This corrects the article doi: 10.1590/S2237-96222023000100034].
254;
255;"OBJECTIVE: to analyze trends in mortality rates due to Alzheimer's disease in Brazil and its macro-regions by age and sex, from 2000 to 2019. METHODS: this was a time-series study on mortality from Alzheimer's disease in Brazil and its macro-regions by age and sex; data were obtained from the Mortality Information System; a Prais-Winsten model was used to analyze trends. RESULTS: there were 211,658 deaths in the period analyzed, with an increasing trend in Alzheimer's disease mortality in Brazil in elderly people aged 60-69 years (APC = 4.3; 95%CI 2.9;5.9), 70-79 years (APC = 8.1; 95%CI 4.8;11.5) and ≥ 80 years (APC = 11.3; 95%CI 8.1;14.6) and in all macro-regions, age groups and sexes. CONCLUSION: Brazil and all its macro-regions showed a rising trend in Alzheimer's disease mortality rates, following the global trend."
256;"OBJECTIVE: to estimate excess deaths during the COVID-19 pandemic in the state of Santa Catarina and its macro-regions, Brazil, 2020-2021. METHODS: this was an ecological study, using data from the Mortality Information System; excess deaths in adults were calculated by the difference between the observed number of deaths and expected number of deaths, taking into account the average of deaths that occurred between 2015 and 2019; the variables ""macro-region of residence"", ""quarter"", ""month"", ""sex"" and ""age group"" were analyzed; data were analyzed in a descriptive manner. RESULTS: a total of 6,315 excess deaths in 2020 and 17,391 in 2021, mostly in males (57.4%) and those aged 60 years and older (74.0%); macro-regions and periods with the greatest excess deaths were those in which there were most deaths due to COVID-19; the greatest excess deaths occurred in March 2021 (n = 4,207), with a progressive decrease until the end of the year. CONCLUSION: there were excess deaths in the state of Santa Catarina and in all its macro-regions during the COVID-19 pandemic."
257;OBJECTIVE: to describe characteristics of notifications of sexual violence against children and adolescents according to race/skin color and their distribution in the state of Rio Grande do Sul, Brazil, between 2014 and 2018. METHODS: this was a descriptive study of data retrieved from the Notifiable Health Conditions Information System (SINAN). Frequency distributions, prevalence and statistical differences were analyzed using Pearson's chi-square test. RESULTS: of the 8,716 notifications, most occurred in the state capital (48.2%) and related to female victims (82.2%) aged between 10 and 14 years (38.1%). There was a higher prevalence (370/100,000) and relative frequency of rape (84.5%), sexual exploitation (5.8%) and neglect/abandonment (4.6%) among victims of Black race/skin color (p-value < 0.05). Only 4.6% of notifications occurred in primary health care services. CONCLUSION: notifications were more frequent among female pre-adolescents and prevalence was higher among Black people, who should be a priority target for protective measures. Surveillance of this form of violence needs to be strengthened in primary care.
258;"OBJECTIVE: to measure the prevalence of prematurity according to the Brazilian macro-regions and maternal characteristics over the past 11 years; to compare the proportions during the COVID-19 pandemic (2020-2021) with those of the historical series (2011-2019). METHODS: this was an ecological study, with data from the Live Birth Information System; the prevalence was calculated according to year, macro-region and maternal characteristics; time series analysis was performed using Prais-Winsten regression model. RESULTS: the prevalence of preterm birth in 2011-2021 was 11.1%, stable; the average in the pandemic period 11.3% (95%CI 11.2;11.4%) was similar to that of the base period 11.0% (95%CI 10.6;11.5%); the North region (11.6%) showed the highest proportion between 2011 and 2021; twin pregnancy (56.3%) and pregnant women who had 4-6 prenatal care visits (16.7%) showed an increasing trend (p-value < 0.001); the highest prevalence was observed for extremes of maternal age, pregnant women of Black race/skin color, indigenous women and those with lower level of education. CONCLUSION: preterm birth rates were highest for socially vulnerable pregnant women, twin pregnancies and in the North; stable prevalence, with no difference between periods."
259;"OBJECTIVE: to evaluate the incompleteness of Mortality Information System (Sistema de Informações sobre Mortalidade - SIM) data on deaths from external causes (ECs) in the state of Rio Grande do Sul, Brazil, 2000-2019. METHODS: This was an ecological study, using SIM data on all deaths from external causes and, specifically, from transport accident, homicides, suicides and falls; the analysis of the trend of incompleteness was performed by means of Prais-Winsten regression, with a 5% significance level. RESULTS: A total of 146,882 deaths were evaluated; sex (0.1%), place of death (0.1%) and age (0.4%) showed the lowest incompleteness in 2019; the proportion of incompleteness showed a decreasing trend for the place of death and schooling, an increasing trend for marital status and a stable trend for age and race/skin color, among all types of death evaluated. CONCLUSION: the variables analyzed reached a high degree of completion; with the exception of marital status and schooling, for which unsatisfactory scores persisted for deaths from ECs, both total and by subgroups."
260;"OBJECTIVE: to describe the frequency of underreporting of unfavorable outcomes of congenital syphilis in the state of São Paulo, Brazil, 2007-2018. METHODS: this was a descriptive study of cases of abortion, fetal and non-fetal deaths due to congenital syphilis reported on the Notifiable Health Conditions Information System (Sistema de Informação de Agravos de Notificação - SINAN), and those of congenital syphilis registered in any line in the Death Certificate, on the Mortality Information System (Sistema de Informações sobre Mortalidade - SIM), by means of probabilistic and deterministic linkage. RESULTS: of the 27,713 cases of congenital syphilis reported, 1,320 progressed to death (871 fetal deaths, 449 infant deaths) and were matched to the SIM; 355 deaths (259 fetal deaths, 96 infant deaths) were not included on SINAN; there was an increase in unfavorable outcomes,11.4% for infant deaths due to congenital syphilis, 3.0% for fetal deaths and 1.9% for abortions. CONCLUSION: the use of different relationship techniques proved to be adequate to identify the frequency of underreporting of unfavorable outcomes of congenital syphilis in the state of São Paulo."
261;"OBJECTIVE: to analyze the completeness, consistency and non-duplication of leprosy notification data in João Pessoa, Paraíba, Brazil, 2001-2019. METHODS: this was a descriptive study, conducted with data from the Notifiable Health Conditions Information System, which checked for ""duplication"" (acceptable: < 5%), ""completeness"" (excellent = incompleteness ≤ 5%) and ""consistency"" (excellent: ≥ 90.0%), based on the proportion of complete and consistent fields. RESULTS: the sample consisted of 2,410 notifications. Duplication was acceptable (0.3%). The completeness of the ""bacilloscopy"", ""affected nerves"", ""examined contacts"" and ""reactive episode"" fields was very poor (more than 50% incomplete). Consistency between the ""operational classification"" and ""initial treatment regimen"" fields was excellent (99.6%), while consistency between ""operational classification"" and ""clinical form"" was low (50.7%). CONCLUSION: although duplication was acceptable, poor completeness of diagnosis and follow-up fields hinders epidemiological analysis, recognition of the status of the disease and adoption of measures to control it."
262;"OBJETIVE: to analyze breast cancer screening monitoring indicators in the female population using the Brazilian National Health System, from 2018 to 2019. METHODS: this was a descriptive study based on Cancer Information System (SISCAN) data; screening indicators were calculated following deterministic linkage of the mammography and histopathology databases. RESULTS: in 2018, 807,430 women aged 50 to 69 years were screened for breast cancer, 91% of whom had a benign result, 1.8% probably benign, 6.7% inconclusive results and 0.5% results suggestive of cancer; the positive mammogram rate was 9.0%; biopsy was estimated to be indicated for 1.6% of the women, 33.9% of whom had a malignant result, and the cancer confirmation rate was 5.4 per 1,000 women. CONCLUSION: high benign lesion loss to follow-up was identified; the positive mammogram rate was lower than the international parameter, but the cancer detection rate was adequate and the percentage of inconclusive mammograms was acceptable."
263;"OBJECTIVE: to analyze the distribution of tuberculosis cases in the state of Paraná, Brazil, between 2018 and 2021. METHODS: this was an ecological study using secondary data obtained from compulsory notifications; detection rates per 100,000 inhabitants were described according to health regions in the state; percentage changes between 2018-2019 and 2020-2021 were calculated. RESULTS: a total of 7,099 cases were registered. The highest rates were observed in the health regions of Paranaguá (52.4/100,000 in 2018-2019; 38.2/100,000 in 2020-2021) and Foz do Iguaçu (34.4/100,000 in 2018-2019; 20.5/100,000 in 2020-2021), and the lowest rates in Irati (6.3/100,000 in 2018-2019; 8.8/100,000 in 2020-2021) and Francisco Beltrão (8.5/100,000 in 2018-2019; 7.6/100,000 in 2020-2021); in 2020-2021, it could be seen a decrease in percentage changes in 18 health regions, while there was an increase in four of them, especially Foz do Iguaçu (-40.5%) and Cianorte (+53.6%). CONCLUSION: high rates were found in the coastal and triple border regions; and there was a decline in detection rates in the pandemic period."
264;"OBJECTIVE: to evaluate the completeness and timeliness of notifications of cases of spotted fever (SF) held on the Notifiable Health Conditions Information System (SINAN) in São Paulo State, Brazil, from 2007 to 2017. METHODS: this was a descriptive and ecological study of confirmed human cases of SF regarding completeness and timeliness of ten fields of the notification form (good if ≥ 90% for most variables); time series analysis was performed using the Prais-Winsten technique. RESULTS: we analyzed 736 records; among essential fields, only ""Discharge date"" showed poor completeness (68.5%). Timeliness was good for the ""Investigation"" and ""Closure"" fields; other time lapses were not adequate. CONCLUSION: in São Paulo state, data completeness was good for most variables, whereas timeliness was not adequate (except for ""Closure"" and ""Investigation""), pointing to the need for health education and communication actions about SF."
265;"OBJECTIVE: to describe human papillomavirus (HPV) vaccination coverage in the Northeast region of Brazil, in the period from 2013 to 2021. METHODS: this was a descriptive study conducted with data obtained from the National Immunization Program, which sets a goal of 80% coverage of HPV vaccination in girls aged between 9 and 14 years and boys aged between 11 and 14 years. RESULTS: HPV vaccination coverage in girls was 73.9%, regarding the first dose, and 54.3% regarding the second dose, and for boys, the coverage of each dose was 49.7% and 32.6%, respectively; with the exception of the states of Ceará and Paraíba, which reached coverage above 80% regarding the first dose in girls, none of the states reached the goal for both doses. CONCLUSIONS: between 2013 and 2021, HPV vaccination coverage was below the target for both sexes, with the exception of the states of Ceará and Paraíba, which reached the goal for the first dose in the girls."
266;"OBJECTIVE: to evaluate the agreement between measured height, weight, and body mass index (BMI) during the 22-year follow-up of the 1993 Pelotas Birth Cohort, state of Rio Grande do Sul, Brazil, and self-reported data during the online follow-up of the coortesnaweb. METHODS: this was a cross-sectional validation study; agreement was assessed by means of Lin's concordance correlation coefficient for continuous measures and weighted Kappa for nutritional status; Spearman's rank correlation coefficient was used to estimate the correlation between measurements. RESULTS: a total of 783 participants were included; it could be seen high correlation and high agreement between the measured height (r = 0.966; ρ = 0.966), weight (r = 0.934; ρ = 0.928), and BMI (r = 0.903; ρ = 0.910) and Web-based self-reported data; there was no correlation between mean difference and the time interval between measurements. CONCLUSION: using the Internet to collect self-reported anthropometric measurements is as valid as the traditional method."
267;"OBJECTIVE: to analyze the clinical conditions and sociodemographic characteristics associated with covid-19 deaths in the first year of the pandemic in the city of Recife, Pernambuco, Brazil, 2020. METHODS: this was a cross-sectional study with covid-19-induced severe acute respiratory syndrome cases recorded in 2020 via the ""Notifique Aqui"" (Report Here) electronic system of the Pernambuco Center for Strategic Information on Health Surveillance. Association between death and sociodemographic and clinical variables was analyzed. Prevalence ratios (PR) with 95% confidence intervals (95%CI) were calculated using adjusted Poisson regression. RESULTS: the prevalence of death was 28.4% (2,833 cases; 95%CI 27.51;29.28). The associated factors were male sex (PR = 1.05; 95%CI 1.01;1.08), age ≥ 60 years (PR = 0.76; 95%CI 0.72;0.79), dyspnea (PR = 1.06; 95%CI 1.02;1.10), respiratory distress (PR = 1.06; 95%CI 1.03;1.09), oxygen saturation < 95% (PR = 1.08; 95%CI 1.04;1.11) and chronic diseases. CONCLUSION: covid-19 deaths were more prevalent among male, older adults, and people with pre-existing health problems, these being priority groups for combating the pandemic."
268;OBJECTIVE: to analyze the distribution and spatial autocorrelation of hepatitis B and C detection rates in the state of Paraná, Brazil. METHODS: this was an ecological study of hepatitis B and C notifications held on the Notifiable Health Conditions Information System, between 2011 and 2019. Percentage change in detection rates between the first and last three-year periods was estimated. Spatial autocorrelation was analyzed using Moran's index. RESULTS: there were 16,699 notifications of hepatitis B, with a greater reduction in detection in the North (-30.0%) and Northwest (-25.9%) macro-regions. There were clusters of high occurrence in the Foz do Iguaçu, Francisco Beltrão and Cascavel regions between 2011 and 2019. There were 10,920 notifications of hepatitis C, with a greater reduction in detection in the Northwest macro-region (-18.9%) and an increase in the West (51.1%). The Paranaguá region recorded a high detection cluster between 2011 and 2016. CONCLUSION: hepatitis B and C showed heterogeneous distribution between health regions.
269;"OBJECTIVES: to estimate the prevalence of leisure-time physical activity and sedentary behavior in adults in Brazil. METHODS: this was a cross-sectional, population-based study carried out in a sample of 88,531 Brazilians, using data from the 2019 National Health Survey; leisure-time physical activity (overall and aerobic exercise) was measured according to the World Health Organization guidelines; the weighted prevalence and respective 95% confidence intervals (95%CI) of physical activity, physical inactivity and sedentary behavior were estimated. RESULTS: according to the selected sample, 26.4% (95%CI 25.9;27.1) of Brazilian adults were physically active, 14.0% (95%CI 13.5;14.4) were insufficiently physically active and 59.5% (95%CI 58.8;60.2) were physically inactive; sedentary behavior ≥ 6 hours was reported by 30.1% (95%CI 29.5;30.8) of the population; only 8.6% (95%CI 8.2;8.9) met the recommendations for muscle-strengthening activities. CONCLUSION: most Brazilian adults were physically inactive and did not meet international recommendations for leisure-time physical activity and reduction in sedentary behavior."
270;MAIN RESULTS: Technology transfer can take place at large events, as long as safety protocols are strictly enforced. It is important to disseminate, at these events, the concepts of the Responsible Research and Innovation (RRI). Implications for services: Face-to-face training course is fundamental for training public health professionals. Technology transfer between research institutions and health services results in updating and improving health system performance. PERSPECTIVES: Based on the success of the reported technology transfer, a new module will be incorporated into the next edition of VEME (Panama 2022), entitled Virus Evolution to Public Health Policy Makers. The objective of this report was to describe the first face-to-face course aimed at training public health professionals in performing real-time genomic surveillance during the pandemic period. Experience report on a theoretical-practical course focusing on genomic research and surveillance, including mobile sequencing technologies, bioinformatics, phylogenetics and epidemiological modeling. There were 162 participants in the event and it was the first major face-to-face training course conducted during the COVID-19 epidemic in Brazil. No cases of SARS-CoV-2 infection was detected among the participants at the end of the event, suggesting the safety and effectiveness of all safety measures adopted. The results of this experience suggest that it is possible to conduct professional training safely during pandemics, as long as all safety protocols are followed.
271;"MAIN RESULTS: Around 3% of the students regularly consumed the five healthy eating markers, with beans being the most frequently consumed; strong association was found between healthy eating markers and behavioral variables. Implications for services: The results obtained can contribute for interventions, programs and actions, particularly in the school environment, aimed at promoting an adequate and healthy diet. PERSPECTIVES: Better targeting of interventions, programs and actions developed in the school environment, seeking to increase consumption of fresh and minimally processed food, along with the adoption of healthy behaviors. OBJECTIVE: to analyze the consumption of healthy eating markers among adolescent students in Pelotas, Rio Grande do Sul, Brazil, in 2019. METHODS: this was a cross-sectional study carried out in schools taking part in the Health at School Program. Consumption of the five markers (beans, milk, fruit, cooked vegetables and raw salads) within five days prior to the study, obtained through a self-administered questionnaire, was defined as regular. Association between demographic, socioeconomic and behavioral variables and the outcomes was analyzed using Poisson regression. RESULTS: among the 797 respondents, 2.8% (95%CI 1.8;4.1) reported regular consumption. Beans were the most regularly consumed food (48.3%); fruit, cooked vegetables and raw salads were consumed regularly by less than 30% of the students. Doing physical activities, having breakfast and having meals with the family were associated with regular consumption of the foods assessed. CONCLUSION: regular consumption of healthy foods was low in this population, and was associated with behavioral factors."
272;"MAIN RESULTS: An outbreak of illness compatible with scurvy occurred among male prison inmates; most frequent signs/symptoms were edema and pain in lower limbs, difficulty in walking and hematoma/ecchymosis; the associated factor was age > 40 years. IMPLICATIONS FOR SERVICES: The results can contribute to the identification and description of scurvy outbreaks in other contexts and territories. Epidemiological studies of events like this enhance the practice of field epidemiology in health services. PERSPECTIVES: It is expected that the prevention of hypovitaminosis, such as scurvy, will be based on public policies aimed at the population deprived of liberty; and that the capabilities of health services to detect and respond to cases of the disease will be improved. OBJECTIVE: to identify the occurrence of an outbreak compatible with scurvy and exposure factors associated with typical signs/symptoms of hypovitaminosis that occurred in a male penitentiary in Ceará, Brazil between 2019-2020. METHODS: this was a population-based case-control study; we used clinical records and interviews with compatible cases - based on sign/symptom onset during the study period - and with controls; we carried out multivariate analysis. RESULTS: out of 62 cases, mean age was 40.6 years (SD = 10.8); main signs/symptoms were edema and pain in the lower limbs (100.0%), difficulty in walking (91.9%), hematoma/ecchymosis in the lower limbs (90.3%) and fever (88.7%); we identified being over 40 years old as an associated factor (aOR = 1.10; 95%CI 1.05;1.17; p-value = 0.001); and as protective factors: working (aOR = 0.11; 95%CI 0.03;0.36; p-value < 0.001) and taking part in classes (aOR = 0.21; 95%CI 0.08;0.59; p-value = 0.003) in the prison. CONCLUSION: we considered the penitentiary outbreak to be compatible with scurvy due to characteristic signs/symptoms, associated with the identified factors; we recommended regular provision of a diet rich in vitamin C to all male inmates and clinical follow-up of cases."
273;"MAIN RESULTS: A total of 4,029 leprosy cases were notified. Mean prevalence varied between 2.0 and 11.5 cases/10,000 inhab. Spatial distribution of the cases was heterogeneous and there was a falling prevalence trend over the years studied. IMPLICATIONS FOR SERVICES: These findings point to the need to strengthen active tracing strategies and expand health actions and services targeting leprosy, with the aim of increasing detection and early treatment of cases. PERSPECTIVES: It is important to carry out epidemiological investigations on the spatial distribution and prevalence of leprosy in other health regions in the state, in order to identify other areas with greater vulnerability to leprosy. OBJECTIVE: to analyse the spatial distribution and trend of leprosy in municipalities of a health region in a Northeast Brazilian state. METHODS: this was an ecological time-series study based on compulsory notification of leprosy cases by the municipalities covered by the Imperatriz-MA Regional Health Management Unit, between 2008 and 2017; prevalence and mean prevalence for the period were calculated; spatial analysis of the area was carried out and maps were generated using ArcGis 10.5. Prais-Winsten regression was used for trend analysis. RESULT: 4,029 cases of the disease were identified, and average prevalence ranged from 2.0 to 11.5 cases/10,000 inhabitants-year. The overall trend was downward. Governador Edson Lobão had the highest prevalence, 11.5 cases/10,000 inhabitants, and Lajeado Novo had the lowest prevalence, 2.0 cases/10,000 inhabitants. CONCLUSION: spatial distribution of leprosy cases was heterogeneous in the municipalities studied and prevalence had a falling trend."
